st,year,div_rate,stpop,lfdivlaw,unilateral,years_unilateral,years_unilateral_long,reform,evdiv50,married,married_annual,neighper,time,timesq,divx1,divx2,divx3,divx4,divx5,divx6,divx7,divx8,divx9,divx10,divx11,divx12,divx13,divx14,divx15,divx16,divx17,gruber,friedberg,johnson,mechoulan,ellmanlohr1,ellmanlohr2,brinigbuckley,nakonezny,gruber_yrs,friedberg_yrs,johnson_yrs,mechoulan_yrs,ellmanlohr1_yrs,ellmanlohr2_yrs,brinigbuckley_yrs,nakonezny_yrs,divx
AK,1956,2.7,224000,1935,1,15,21,1,.22642034,,.7170260548591614,0,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1957,2.4000001,231000,1935,1,15,23,1,.22642034,,.718297690153122,0,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1958,2.5,224000,1935,1,15,23,1,.22642034,,.7195693254470825,0,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1959,3,224000,1935,1,15,25,1,.22642034,,.7208409607410431,0,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1960,3.5,229000,1935,1,15,25,1,.22642034,.7221126,.7221125960350037,0,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1961,3.9000001,238000,1935,1,15,25,1,.22642034,,.7233842313289642,0,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,No change in sample,0
AK,1962,3.8,246000,1935,1,15,25,1,.22642034,,.7246558666229248,0,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,No change in sample,No change in sample,No change in sample,>=15 years,No change in sample,First 2 years,0
AK,1963,3.8,256000,1935,1,15,25,1,.22642034,,.7259275019168854,0,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,First 2 years,No change in sample,No change in sample,>=15 years,No change in sample,First 2 years,0
AK,1964,3.9000001,263000,1935,1,15,25,1,.22642034,,.727199137210846,0,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,First 2 years,No change in sample,No change in sample,>=15 years,No change in sample,Years 3-4,0
AK,1965,4.1999998,271000,1935,1,15,25,1,.22642034,,.7284707725048065,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 3-4,No change in sample,No change in sample,>=15 years,No change in sample,Years 3-4,0
AK,1966,4.0999999,271000,1935,1,15,25,1,.22642034,,.7297424077987671,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 3-4,No change in sample,No change in sample,>=15 years,No change in sample,Years 5-6,0
AK,1967,4.3000002,278000,1935,1,15,25,1,.22642034,,.7310140430927277,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 5-6,No change in sample,No change in sample,>=15 years,No change in sample,Years 5-6,0
AK,1968,4.8000002,285000,1935,1,15,25,1,.22642034,,.7322856783866882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 5-6,No change in sample,No change in sample,>=15 years,No change in sample,Years 7-8,0
AK,1969,5.4000001,296000,1935,1,15,25,1,.22642034,,.7335573136806488,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 7-8,No change in sample,No change in sample,>=15 years,No change in sample,Years 7-8,0
AK,1970,5.5999999,302583,1935,1,15,25,1,.22642034,.73482895,.7348289489746094,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 7-8,No change in sample,No change in sample,>=15 years,No change in sample,Years 9-10,0
AK,1971,5.5,315510,1935,1,15,25,1,.22642034,,.7272662997245796,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 9-10,No change in sample,No change in sample,>=15 years,No change in sample,Years 9-10,0
AK,1972,6.5999999,324464,1935,1,15,25,1,.22642034,,.719703650474548,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 9-10,No change in sample,No change in sample,>=15 years,No change in sample,Years 11-12,0
AK,1973,6.1999998,330543,1935,1,15,25,1,.22642034,,.7121410012245182,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 11-12,No change in sample,No change in sample,>=15 years,No change in sample,Years 11-12,0
AK,1974,7.0999999,341063,1935,1,15,25,1,.22642034,,.7045783519744884,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 11-12,First 2 years,First 2 years,>=15 years,No change in sample,Years 13-14,0
AK,1975,7.6999998,376170,1935,1,15,25,1,.22642034,,.6970157027244568,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 13-14,First 2 years,First 2 years,>=15 years,No change in sample,Years 13-14,0
AK,1976,8.1999998,400969,1935,1,15,25,1,.22642034,,.689453053474427,0,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,Years 13-14,Years 3-4,Years 3-4,>=15 years,No change in sample,>=15 years,0
AK,1977,9,403436,1935,1,15,25,1,.22642034,,.6818904042243954,0,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 3-4,Years 3-4,>=15 years,No change in sample,>=15 years,0
AK,1978,8.6999998,404766,1935,1,15,25,1,.22642034,,.6743277549743656,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 5-6,Years 5-6,>=15 years,No change in sample,>=15 years,0
AK,1979,8.6999998,402753,1935,1,15,25,1,.22642034,,.6667651057243358,0,11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 5-6,Years 5-6,>=15 years,No change in sample,>=15 years,0
AK,1980,8.8000002,401851,1935,1,15,25,1,.22642034,.65920246,.6592024564743042,0,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 7-8,Years 7-8,>=15 years,No change in sample,>=15 years,0
AK,1981,8.3000002,418491,1935,1,15,25,1,.22642034,,.6566894114017483,0,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 7-8,Years 7-8,>=15 years,No change in sample,>=15 years,0
AK,1982,7.8000002,449606,1935,1,15,25,1,.22642034,,.6541763663291933,0,14,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 9-10,Years 9-10,>=15 years,No change in sample,>=15 years,0
AK,1983,8.1000004,488417,1935,1,15,25,1,.22642034,,.6516633212566374,0,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 9-10,Years 9-10,>=15 years,No change in sample,>=15 years,0
AK,1984,7.6999998,513702,1935,1,15,25,1,.22642034,,.6491502761840815,0,16,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 11-12,Years 11-12,>=15 years,No change in sample,>=15 years,0
AK,1985,7.6999998,532495,1935,1,15,25,1,.22642034,,.6466372311115265,0,17,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 11-12,Years 11-12,>=15 years,No change in sample,>=15 years,0
AK,1986,7,544268,1935,1,15,25,1,.22642034,,.6441241860389706,0,18,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 13-14,Years 13-14,>=15 years,No change in sample,>=15 years,0
AK,1987,6.5,539309,1935,1,15,25,1,.22642034,,.6416111409664156,0,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,Years 13-14,Years 13-14,>=15 years,No change in sample,>=15 years,0
AK,1988,6.4000001,541983,1935,1,15,25,1,.22642034,,.6390980958938597,0,20,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1989,6.3000002,547159,1935,1,15,25,1,.22642034,,.6365850508213038,0,21,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1990,5.6999998,553120,1935,1,15,25,1,.22642034,.63407201,.6340720057487488,0,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1991,5.9725299,569273,1935,1,15,25,1,.22642034,,.6308808386325833,0,23,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1992,6.302453,587073,1935,1,15,25,1,.22642034,,.6276896715164186,0,24,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1993,5.6181564,596993,1935,1,15,25,1,.22642034,,.6244985044002531,0,25,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1994,5.3161378,600624,1935,1,15,25,1,.22642034,,.6213073372840876,0,26,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1995,4.9888167,601345,1935,1,15,25,1,.22642034,,.618116170167923,0,27,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1996,4.6287265,604918,1935,1,15,25,1,.22642034,,.6149250030517575,0,28,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1997,4.8386621,608846,1935,1,15,25,1,.22642034,,.6117338359355928,0,29,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AK,1998,5.221024,615205,1935,1,15,25,1,.22642034,,.6085426688194273,0,30,900,,,,,,,,,,,,,,,,,,1935,0,1963,1974,1974,1935,0,1962,>=15 years,No change in sample,>=15 years,>=15 years,>=15 years,>=15 years,No change in sample,>=15 years,0
AL,1956,3.3,3071000,1971,0,-99,-99,1,.069389664,,.752392280101776,0,-12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1957,3.4000001,3109000,1971,0,-99,-99,1,.069389664,,.7533322036266326,0,-11,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1958,3.9000001,3163000,1971,0,-99,-99,1,.069389664,,.7542721271514892,0,-10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1959,4.6999998,3204000,1971,0,-99,-99,1,.069389664,,.7552120506763458,0,-9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1960,5.3000002,3274000,1971,0,-99,-99,1,.069389664,.75615197,.7561519742012024,0,-8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1961,5.3000002,3316000,1971,0,-99,-99,1,.069389664,,.7525515675544732,0,-7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1962,3.7,3323000,1971,0,-99,-99,1,.069389664,,.7489511609077448,0,-6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1963,3.7,3358000,1971,0,-99,-99,1,.069389664,,.7453507542610165,0,-5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1964,3.2,3395000,1971,0,-99,-99,1,.069389664,,.7417503476142882,0,-4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1965,3.2,3443000,1971,0,-99,-99,1,.069389664,,.7381499409675598,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1966,3.2,3464000,1971,0,-99,-99,1,.069389664,,.7345495343208306,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1967,3.4000001,3458000,1971,0,-99,-99,1,.069389664,,.7309491276741023,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
AL,1968,3.5999999,3446000,1971,0,-99,-99,1,.069389664,,.7273487210273739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1971,1971,1971,1971,1971,0,1971,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,No change in sample,0
