GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
2.5799999,3.49,18,0,1,1,2.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,1,0,1,1,78.300003,0,73,1,2,rarely,0,1,1,1,0,attended university but did not complete bachelor s degree,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.55,2.96,17,0,1,0,3.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,0,1,1,84.300003,0,77,1,3,rarely,0,1,3,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,F,1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.75,3.3099999,19,0,1,1,3,4.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,1,1,85.5,1,76,1,3,usually,0,0,5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.3699999,2.6199999,18,0,1,1,3.5,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,1,1,1,1,76.5,1,72,1,2,often,0,0,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
1.6799999,2.47,19,0,1,1,2.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,1,1,1,74.300003,1,,1,1,never,1,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.79,2.27,18,1,1,0,3,4,1,0,graduated from high school,1,1,1,1,1,81.5,0,71,1,3,rarely,0,1,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,3,0,0,F,1,1,1,1,0,0,1,0,0,4,0,0,0,0
2.03,2.0799999,18,0,1,0,4,4.5,1,1,"completed a master s degree (m.a., m.sc., etc)",0,1,1,1,1,83.199997,0,67,1,3,usually,0,0,3.5,1,0,completed a community college diploma program,Other,0,5,0,0,F,0,0,1,1,1,1,1,0,0,5,1,0,1,0
2.1099999,2.4300001,18,0,1,0,2.5,3.5,1,0,graduated from high school,1,0,1,1,1,85.599998,1,65,1,3,often,0,0,3,1,0,graduated from high school,English,0,4,0,0,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
2.05,3.05,18,0,1,1,2.5,4,0,0,did not finish high school,1,0,1,1,1,81.699997,0,65.5,1,3,occasionally,0,0,1,1,0,graduated from high school,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
1.14,1.13,18,0,1,0,1,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,1,1,0,0,77.199997,1,,1,2,occasionally,0,0,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,4,0,0,F,1,1,1,1,0,0,1,0,0,3.5,0,0,0,0
.43000001,,18,0,1,1,1,0,0,0,don t know/not applicable,1,1,1,0,0,79.300003,1,,1,2,occasionally,0,0,2,0,0,don t know/not applicable,English,0,6,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.25,,18,0,1,1,2.5,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,0,0,76.199997,1,67,1,1,occasionally,0,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,1,1,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.1300001,2.01,19,0,1,0,1.5,3,1,0,completed a community college diploma program,1,1,1,0,1,80.300003,1,,1,2,occasionally,0,0,0,1,0,completed a community college diploma program,English,0,4,0,0,F,0,0,0,0,0,0,1,1,1,3,1,0,1,0
1.9299999,1.21,18,0,1,0,2,2.5,1,1,"completed a doctoral degree or professional program (ph.d., ",0,1,1,1,1,71.5,0,,1,1,often,0,0,0,1,1,"completed a master s degree (m.a., m.sc., etc)",Other,0,5,0,0,F,0,0,1,1,1,1,1,0,0,4,0,1,1,0
3,3.4100001,18,0,1,1,2.5,3.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,1,1,1,1,84.199997,1,75,1,3,never,1,0,0,1,0,graduated from high school,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.29,2.1400001,18,0,1,1,3.5,3.5,1,0,completed a community college diploma program,0,1,1,0,1,81.300003,0,60,0,3,occasionally,0,0,0,1,0,attended university but did not complete bachelor s degree,Other,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.25,2.7,18,0,1,0,3.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,1,1,82,1,63,1,3,occasionally,0,0,3,1,0,graduated from high school,Other,0,5,0,0,M,0,0,0,0,0,0,1,1,1,5,1,0,1,0
1.35,,18,1,1,0,2.5,0,0,0,did not finish high school,1,1,1,0,0,82.300003,0,59,1,3,often,0,0,3,1,0,completed a community college diploma program,English,0,4,1,1,F,0,0,0,0,0,0,1,1,1,4,0,1,1,0
3.01,1.95,18,1,1,0,2,2,1,1,"completed a master s degree (m.a., m.sc., etc)",1,0,1,0,1,84.800003,1,82,0,3,often,0,0,0,1,0,completed a community college diploma program,English,0,6,0,0,M,0,0,1,0,1,0,0,0,0,3.5,0,0,0,0
1.88,,18,0,1,1,2.5,0,1,0,graduated from high school,1,1,1,1,0,85.800003,0,67,1,3,never,1,0,2,1,0,completed a community college diploma program,English,0,5,0,1,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.3399999,3.5999999,19,0,1,0,3,5,0,0,did not finish high school,1,1,1,1,1,85.300003,0,67,0,3,often,0,0,3,1,0,graduated from high school,English,0,5,0,0,F,0,0,0,0,0,0,1,1,1,5,1,1,1,0
1.24,.58999997,19,1,1,1,2.5,1.5,1,0,completed a community college diploma program,1,0,1,0,0,75.5,1,55.5,0,1,occasionally,0,0,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,1,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
.38,.82999998,18,0,1,1,1,2,1,0,graduated from high school,1,0,1,0,0,74.300003,1,54,1,1,occasionally,0,0,2,1,0,completed a community college diploma program,English,0,5,1,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.98,1.63,18,0,1,1,3,3.5,1,0,completed a community college diploma program,1,1,1,1,1,73.699997,0,71,0,1,occasionally,0,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.45,1.8200001,21,0,1,1,3.5,4.5,1,0,completed a community college diploma program,1,0,1,1,1,81.300003,1,63,0,3,rarely,0,1,3,1,0,graduated from high school,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.59,.66000003,19,0,1,1,3.5,2,1,0,graduated from high school,1,0,1,1,0,73,1,68.5,1,1,usually,0,0,1.5,1,0,completed a community college diploma program,English,0,6,0,1,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
.88999999,1.55,18,0,1,1,2,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,1,1,0,0,73.5,1,59,1,1,often,0,0,3,1,0,completed a community college diploma program,Other,0,6,1,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.72,2.78,17,0,1,0,3.5,3.5,0,0,don t know/not applicable,1,0,1,1,1,84.5,1,75,0,3,occasionally,0,0,1,0,0,don t know/not applicable,English,0,5,0,0,M,1,1,1,1,0,0,1,0,0,5,0,0,0,0
3.1400001,3.3299999,18,0,1,1,2.5,3,1,1,"completed a master s degree (m.a., m.sc., etc)",0,0,1,1,1,80,1,70.5,1,2,often,0,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.71,2.6600001,18,0,1,1,3.5,5,1,0,completed a community college diploma program,1,0,1,1,1,78.199997,0,75,0,2,occasionally,0,0,3,1,0,completed a community college diploma program,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.9000001,2.8099999,18,1,1,0,3,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,1,1,76.5,0,83,1,2,often,0,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,4,0,0,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
.91000003,1.77,18,1,1,0,2.5,1.5,0,0,did not finish high school,1,0,1,0,0,72.300003,0,52,1,1,often,0,0,0,1,1,"completed a master s degree (m.a., m.sc., etc)",English,0,5,0,1,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
