"escolaridad","ingreso","lingreso"
16,30000,10.3089526606443
12,800,6.68461172766793
11,8600,9.0595174822416
3,15050,9.61913327017702
9,4000,8.29404964010203
17,8000,8.98719682066197
9,5590,8.62873456614915
12,16000,9.68034400122192
12,5160,8.54869185847561
12,9700,9.17988116449147
18,10000,9.21034037197618
12,6000,8.69951474821019
9,1720,7.4500795698075
16,10000,9.21034037197618
9,400,5.99146454710798
16,7000,8.85366542803745
6,1720,7.4500795698075
16,9000,9.10497985631836
16,14000,9.5468126085974
17,7310,8.89699855274382
2,5160,8.54869185847561
12,6000,8.69951474821019
17,7740,8.95415696658377
12,12900,9.46498259034976
18,70000,11.1562505210315
6,7310,8.89699855274382
12,2580,7.85554467791566
19,16000,9.68034400122192
17,3440,8.14322675036744
5,6000,8.69951474821019
12,5000,8.51719319141624
17,11180,9.32188174670909
16,8600,9.0595174822416
12,16000,9.68034400122192
17,4300,8.36637030168165
11,7396,8.90869459250701
9,6020,8.70284253830287
12,10750,9.28266103355581
2,36000,10.4912742174382
16,11600,9.35876037709446
9,4300,8.36637030168165
9,6880,8.83637393092739
12,5600,8.63052187672324
17,6800,8.8246778911642
12,5160,8.54869185847561
12,17200,9.75266466280154
0,1935,7.56786260546388
9,7740,8.95415696658377
15,6450,8.77183540978982
12,2580,7.85554467791566
17,10000,9.21034037197618
3,4300,8.36637030168165
10,1200,7.09007683577609
10,6000,8.69951474821019
9,8600,9.0595174822416
9,7000,8.85366542803745
6,12040,9.39598971886281
17,4800,8.47637119689598
12,3440,8.14322675036744
10,3440,8.14322675036744
12,18103,9.80383294937594
16,25000,10.1266311038503
6,12900,9.46498259034976
9,10750,9.28266103355581
9,6020,8.70284253830287
16,6000,8.69951474821019
16,15000,9.61580548008435
9,2580,7.85554467791566
12,6000,8.69951474821019
6,4300,8.36637030168165
14,9030,9.10830764641103
6,10500,9.25913053614561
12,11600,9.35876037709446
12,2580,7.85554467791566
11,17200,9.75266466280154
16,18000,9.7981270368783
9,5160,8.54869185847561
12,6880,8.83637393092739
6,9890,9.19927942461676
17,12000,9.39266192877014
9,7740,8.95415696658377
16,14000,9.5468126085974
9,14000,9.5468126085974
16,25800,10.1581297709097
16,12000,9.39266192877014
9,9675,9.17730051789798
4,8734,9.07497873404551
12,7310,8.89699855274382
12,10320,9.24183903903555
12,6450,8.77183540978982
5,8333,9.02797881438221
0,4730,8.46168048148598
6,17200,9.75266466280154
9,8600,9.0595174822416
12,10000,9.21034037197618
9,5160,8.54869185847561
12,10500,9.25913053614561
9,10320,9.24183903903555
12,4300,8.36637030168165
18,16000,9.68034400122192
16,14000,9.5468126085974
0,5160,8.54869185847561
9,7740,8.95415696658377
12,8600,9.0595174822416
9,7740,8.95415696658377
9,6330,8.75305551513822
14,5600,8.63052187672324
7,6020,8.70284253830287
16,3440,8.14322675036744
12,2580,7.85554467791566
7,11180,9.32188174670909
8,7310,8.89699855274382
0,2150,7.67322312112171
9,12900,9.46498259034976
6,3225,8.07868822922987
12,8600,9.0595174822416
0,15000,9.61580548008435
9,5500,8.61250337122056
12,8600,9.0595174822416
18,14000,9.5468126085974
9,9675,9.17730051789798
16,11600,9.35876037709446
12,20000,9.90348755253613
9,1935,7.56786260546388
18,10000,9.21034037197618
9,7740,8.95415696658377
9,1720,7.4500795698075
12,3870,8.26100978602383
9,3440,8.14322675036744
0,10320,9.24183903903555
12,10000,9.21034037197618
6,5160,8.54869185847561
12,5160,8.54869185847561
12,5160,8.54869185847561
12,6200,8.73230457103318
9,5160,8.54869185847561
12,2580,7.85554467791566
10,8170,9.00822418785405
12,5160,8.54869185847561
9,11000,9.30565055178051
12,12900,9.46498259034976
9,5000,8.51719319141624
17,14000,9.5468126085974
9,2580,7.85554467791566
6,17200,9.75266466280154
5,4300,8.36637030168165
17,8000,8.98719682066197
17,10000,9.21034037197618
6,6450,8.77183540978982
12,6450,8.77183540978982
17,12000,9.39266192877014
11,5160,8.54869185847561
17,8000,8.98719682066197
3,1400,7.24422751560335
16,24000,10.0858091093301
3,5160,8.54869185847561
12,8600,9.0595174822416
16,9000,9.10497985631836
16,10500,9.25913053614561
17,10000,9.21034037197618
6,15050,9.61913327017702
11,430,6.06378520868761
9,7740,8.95415696658377
17,14000,9.5468126085974
12,6020,8.70284253830287
9,7500,8.9226582995244
12,12900,9.46498259034976
17,14000,9.5468126085974
12,12040,9.39598971886281
12,8600,9.0595174822416
9,6020,8.70284253830287
11,1720,7.4500795698075
6,860,6.75693238924755
3,1075,6.98007594056176
6,6000,8.69951474821019
11,15000,9.61580548008435
12,3870,8.26100978602383
18,40000,10.5966347330961
6,8600,9.0595174822416
16,6000,8.69951474821019
6,8600,9.0595174822416
12,5600,8.63052187672324
17,14000,9.5468126085974
12,5590,8.62873456614915
17,10750,9.28266103355581
9,430,6.06378520868761
9,6020,8.70284253830287
9,3000,8.00636756765025
8,12040,9.39598971886281
9,5375,8.58951385299586
6,5590,8.62873456614915
6,5160,8.54869185847561
6,20000,9.90348755253613
12,8170,9.00822418785405
9,17200,9.75266466280154
6,3440,8.14322675036744
11,9000,9.10497985631836
12,15000,9.61580548008435
9,6000,8.69951474821019
12,8000,8.98719682066197
12,7740,8.95415696658377
12,8000,8.98719682066197
16,9800,9.19013766465866
12,10000,9.21034037197618
6,5160,8.54869185847561
16,10000,9.21034037197618
14,6450,8.77183540978982
9,7740,8.95415696658377
17,30000,10.3089526606443
12,10750,9.28266103355581
15,4000,8.29404964010203
